pair,crop,mae,rmse,mape,n_rows,n_folds,target
tomato/Wa,tomato,1.0570295397109457,1.546714285045628,34.90530190114589,29,2,returns
yam/Accra,yam,0.7713704548478127,1.087426456113426,15.9508675054557,52,4,returns
yam/Bolgatanga,yam,1.1150275392223288,1.761699177333263,27.890256598259043,37,3,returns
yam/Cape Coast,yam,1.752373285571734,2.528132522795269,23.61017583163786,41,3,returns
yam/Ejura,yam,1.0938817561335032,1.551043126020898,24.32967305514366,27,2,returns
yam/Garu,yam,1.0057375372307642,1.4478890412469319,15.004665299589398,23,2,returns
yam/Ho,yam,0.987546231965224,1.539717142704699,19.946189204702982,41,3,returns
yam/Hohoe,yam,1.554928048508508,2.007746490590174,16.783607553730235,21,1,returns
yam/Kintampo,yam,0.7543211140731971,1.328513250834716,21.812122612055187,35,3,returns
yam/Koforidua,yam,1.036125150433293,1.4071470195411273,20.381883035652166,38,3,returns
yam/Kumasi,yam,0.7895323109030724,1.060613564133077,17.528209447948782,50,4,returns
yam/Mankessim,yam,1.3368760539690652,2.1001841504108527,21.985077330489915,43,3,returns
yam/Obuasi,yam,1.1235776705145837,1.5904629020786938,22.14704480244448,42,3,returns
yam/Sekondi-Takoradi,yam,0.8066499433583681,1.042093896311864,13.036530648157216,48,3,returns
yam/Sunyani,yam,1.3181438751816748,1.9106270920946664,27.17676039066397,51,4,returns
yam/Tamale,yam,0.9891271876096726,1.401122699811426,28.400007049440436,43,3,returns
yam/Techiman,yam,0.8324955468475819,1.2229353225057449,22.200175751495635,53,4,returns
yam/Tema,yam,2.0125924140711624,2.58386507477064,19.434050961215828,49,3,returns
yam/Wa,yam,1.2982024157488787,1.7597947094058257,23.527094040213367,38,3,returns
yam/Yendi,yam,1.8331552929679553,2.6885527668812164,36.10979526211304,35,3,returns
